iter	Passed	Remaining
0	147	147578
1	149	74586
2	151	50308
3	153	38248
4	155	30907
5	158	26241
6	160	22804
7	163	20241
8	164	18167
9	167	16577
10	169	15277
11	173	14252
12	175	13360
13	177	12524
14	180	11837
15	182	11201
16	184	10680
17	188	10297
18	193	9965
19	195	9587
20	198	9239
21	200	8926
22	204	8707
23	207	8443
24	210	8193
25	215	8078
26	219	7894
27	221	7693
28	224	7519
29	227	7344
30	229	7183
31	232	7032
32	240	7043
33	242	6901
34	252	6958
35	254	6812
36	256	6673
37	258	6548
38	261	6434
39	263	6321
40	266	6222
41	268	6135
42	271	6038
43	273	5941
44	277	5890
45	282	5868
46	285	5787
47	287	5710
48	290	5645
49	293	5573
50	295	5492
51	297	5422
52	299	5345
53	300	5270
54	302	5198
55	304	5128
56	306	5067
57	308	5014
58	311	4973
59	314	4934
60	317	4887
61	320	4842
62	322	4801
63	325	4765
64	328	4720
65	330	4670
66	331	4620
67	332	4560
68	334	4513
69	336	4476
70	339	4439
71	342	4414
72	345	4385
73	349	4367
74	351	4334
75	354	4312
76	357	4289
77	360	4262
78	363	4234
79	369	4249
80	371	4213
81	374	4194
82	377	4165
83	379	4136
84	380	4099
85	382	4070
86	384	4036
87	386	4007
88	389	3986
89	391	3958
90	394	3935
91	397	3921
92	400	3904
93	403	3886
94	405	3860
95	407	3837
96	409	3812
97	411	3788
98	413	3765
99	415	3742
100	419	3735
101	422	3720
102	424	3697
103	426	3675
104	428	3652
105	430	3630
106	432	3608
107	435	3599
108	438	3581
109	457	3697
110	459	3680
111	462	3665
112	464	3645
113	472	3674
114	475	3657
115	477	3636
116	479	3618
117	482	3609
118	484	3585
119	485	3563
120	487	3540
121	489	3521
122	490	3496
123	492	3479
124	494	3461
125	497	3448
126	503	3460
127	505	3442
128	506	3423
129	508	3403
130	510	3384
131	512	3368
132	513	3349
133	515	3329
134	516	3310
135	518	3291
136	519	3272
137	520	3253
138	522	3235
139	523	3218
140	525	3200
141	527	3189
142	529	3171
143	530	3154
144	532	3137
145	533	3120
146	534	3104
147	536	3090
148	538	3073
149	539	3058
150	541	3045
151	543	3030
152	544	3014
153	545	2999
154	547	2984
155	548	2968
156	550	2956
157	552	2943
158	553	2928
159	555	2914
160	557	2902
161	558	2888
162	559	2875
163	561	2861
164	562	2848
165	564	2836
166	565	2823
167	567	2809
168	568	2796
169	570	2783
170	571	2772
171	573	2759
172	574	2747
173	576	2735
174	577	2723
175	579	2711
176	580	2699
177	581	2687
178	583	2675
179	584	2664
180	585	2650
181	587	2638
182	588	2627
183	589	2616
184	591	2604
185	592	2595
186	595	2587
187	597	2578
188	598	2568
189	600	2561
190	602	2551
191	604	2542
192	605	2532
193	607	2522
194	608	2512
195	610	2502
196	611	2492
197	612	2482
198	614	2472
199	615	2463
200	617	2454
201	618	2444
202	620	2435
203	621	2426
204	623	2416
205	624	2407
206	625	2397
207	627	2388
208	629	2381
209	630	2373
210	632	2364
211	634	2356
212	635	2347
213	636	2339
214	638	2330
215	639	2321
216	641	2313
217	642	2304
218	644	2297
219	645	2289
220	647	2281
221	648	2273
222	650	2265
223	651	2257
224	653	2249
225	654	2241
226	655	2233
227	657	2225
228	658	2218
229	660	2211
230	662	2204
231	663	2196
232	664	2188
233	666	2181
234	667	2173
235	669	2166
236	670	2158
237	671	2151
238	673	2144
239	675	2139
240	677	2133
241	679	2127
242	681	2122
243	683	2116
244	684	2110
245	686	2104
246	688	2099
247	690	2093
248	691	2086
249	693	2079
250	694	2072
251	695	2065
252	697	2059
253	698	2052
254	700	2045
255	701	2039
256	703	2034
257	705	2027
258	706	2021
259	707	2014
260	709	2008
261	710	2001
262	712	1995
263	713	1989
264	715	1983
265	716	1976
266	718	1971
267	719	1965
268	721	1959
269	722	1953
270	723	1947
271	725	1940
272	726	1934
273	727	1928
274	729	1923
275	730	1917
276	732	1912
277	734	1906
278	735	1900
279	737	1895
280	738	1889
281	739	1883
282	741	1877
283	742	1872
284	744	1866
285	745	1861
286	747	1855
287	748	1850
288	750	1845
289	751	1840
290	752	1834
291	754	1829
292	756	1824
293	758	1820
294	759	1816
295	761	1812
296	763	1807
297	765	1803
298	767	1799
299	769	1794
300	771	1792
301	773	1788
302	775	1784
303	778	1782
304	781	1779
305	784	1778
306	788	1778
307	790	1776
308	793	1773
309	795	1771
310	798	1769
311	800	1765
312	802	1760
313	803	1756
314	805	1752
315	808	1749
316	810	1746
317	812	1742
318	814	1738
319	816	1734
320	817	1729
321	819	1725
322	821	1721
323	823	1719
324	825	1715
325	827	1711
326	829	1707
327	831	1703
328	833	1698
329	834	1694
330	836	1690
331	838	1687
332	840	1684
333	842	1680
334	844	1676
335	846	1672
336	848	1668
337	849	1664
338	851	1660
339	853	1657
340	855	1653
341	857	1649
342	859	1645
343	860	1641
344	862	1637
345	864	1633
346	866	1629
347	868	1626
348	869	1622
349	871	1618
350	873	1614
351	875	1611
352	876	1607
353	878	1603
354	880	1600
355	882	1596
356	884	1592
357	886	1589
358	887	1585
359	889	1581
360	891	1578
361	893	1575
362	896	1573
363	898	1570
364	900	1566
365	902	1563
366	904	1559
367	906	1556
368	908	1553
369	910	1549
370	912	1546
371	913	1542
372	914	1538
373	916	1533
374	917	1529
375	919	1525
376	920	1521
377	922	1518
378	924	1514
379	925	1510
380	927	1506
381	928	1502
382	930	1498
383	931	1494
384	932	1490
385	934	1486
386	936	1482
387	937	1479
388	939	1475
389	941	1472
390	942	1468
391	944	1464
392	945	1460
393	946	1456
394	948	1452
395	949	1448
396	951	1445
397	952	1441
398	954	1437
399	956	1434
400	957	1430
401	959	1427
402	960	1423
403	962	1419
404	963	1415
405	965	1412
406	966	1408
407	968	1404
408	969	1400
409	971	1397
410	972	1393
411	973	1390
412	975	1386
413	976	1382
414	978	1379
415	979	1375
416	981	1372
417	982	1368
418	984	1364
419	986	1361
420	987	1357
421	988	1354
422	990	1350
423	991	1347
424	993	1343
425	994	1340
426	996	1336
427	997	1333
428	998	1329
429	1000	1326
430	1002	1322
431	1003	1319
432	1004	1315
433	1006	1312
434	1007	1309
435	1009	1305
436	1010	1301
437	1011	1298
438	1013	1294
439	1015	1292
440	1016	1288
441	1018	1285
442	1019	1281
443	1021	1278
444	1022	1275
445	1024	1272
446	1025	1268
447	1027	1265
448	1028	1262
449	1030	1259
450	1031	1255
451	1033	1252
452	1034	1249
453	1036	1246
454	1037	1242
455	1039	1239
456	1040	1236
457	1041	1232
458	1043	1229
459	1045	1226
460	1046	1223
461	1047	1220
462	1049	1217
463	1051	1214
464	1052	1211
465	1053	1207
466	1055	1204
467	1056	1201
468	1058	1198
469	1060	1195
470	1061	1192
471	1063	1189
472	1064	1186
473	1065	1182
474	1067	1179
475	1068	1176
476	1070	1173
477	1071	1170
478	1073	1167
479	1074	1164
480	1076	1161
481	1077	1158
482	1079	1155
483	1080	1152
484	1082	1149
485	1083	1146
486	1085	1143
487	1086	1140
488	1088	1137
489	1089	1134
490	1091	1131
491	1093	1128
492	1094	1125
493	1095	1122
494	1097	1119
495	1098	1116
